episode,reward
55100,1.14
55200,1.44
55300,1.56
55400,1.74
55500,1.93
55600,1.83
55700,1.62
55800,1.82
55900,2.24
56000,2.21
56100,2.7
56200,2.64
56300,2.56
56400,2.3
56500,2.88
56600,2.92
56700,3.04
56800,2.68
56900,1.87
57000,2.6
57100,3.06
57200,2.86
57300,1.48
57400,2.33
57500,2.15
57600,2.83
57700,2.43
57800,2.17
57900,2.26
58000,2.03
58100,2.34
58200,2.53
58300,2.11
58400,2.65
58500,2.75
58600,2.3
58700,2.54
58800,2.51
58900,3.06
59000,2.39
